,index,date,caption,comments,likes
42,42,2022-03-21 11:00:17,"Favourite things ❤️

Wearing Kunzite Peacock 2.0 with Jade Amazonite & Raw Clear Quartz jewelry.

Real Gemstones 
Original Art 
Luxury Crystal Healing",0,15
43,43,2022-03-21 10:54:13,"NEW to Delicate Series. Black Tourmaline, White Coral & Aquamarine bracelet. 

Gemstones
-Black Tourmaline from Brazil
-White Coral from China
-Aquamarine from Pakistan 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,3
44,44,2022-03-21 10:53:40,"NEW to Delicate Series. Black Tourmaline, White Coral & Aquamarine bracelet. 

Gemstones
-Black Tourmaline from Brazil
-White Coral from China
-Aquamarine from Pakistan 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,1
45,45,2022-03-21 10:52:52,"NEW to Delicate Series. Black Tourmaline, White Coral & Aquamarine bracelet. 

Gemstones
-Black Tourmaline from Brazil
-White Coral from China
-Aquamarine from Pakistan 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,3
46,46,2022-03-20 21:07:17,"NEW to Delicate Series. Green Angelite & Jade bracelet. 

Gemstones
-Green Angelite from Peru
-Jade from Burma

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,1
47,47,2022-03-20 21:06:41,"NEW to Delicate Series. Green Angelite & Jade bracelet. 

Gemstones
-Green Angelite from Peru
-Jade from Burma

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,4
48,48,2022-03-20 10:48:41,"NEW to Delicate Series. Green Angelite & Jade bracelet. 

Gemstones
-Green Angelite from Peru
-Jade from Burma

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,7
49,49,2022-03-19 22:32:46,"NEW to Delicate Series. Blue Kyanite, White Coral & Clear Quartz bracelet. 

Gemstones
-Blue Kyanite & Clear Quartz from Brazil
-White Coral from China

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,3
50,50,2022-03-19 22:32:01,"NEW to Delicate Series. Blue Kyanite, White Coral & Clear Quartz bracelet. 

Gemstones
-Blue Kyanite & Clear Quartz from Brazil
-White Coral from China

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,2
51,51,2022-03-19 22:29:09,"NEW to Delicate Series. Blue Kyanite, White Coral & Clear Quartz bracelet. 

Gemstones
-Blue Kyanite & Clear Quartz from Brazil
-White Coral from China

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,7
52,52,2022-03-19 09:57:39,"NEW to Delicate Series. Himalayan Quartz & Aquamarine bracelet. 

Gemstones
-Himalayan Quartz from India
-Aquamarine from Brazil & Pakistan

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,3
53,53,2022-03-19 09:56:41,"NEW to Delicate Series. Himalayan Quartz & Aquamarine bracelet. 

Gemstones
-Himalayan Quartz from India
-Aquamarine from Brazil & Pakistan

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,2
54,54,2022-03-19 00:07:05,"NEW to Delicate Series. Himalayan Quartz & Aquamarine bracelet. 

Gemstones
-Himalayan Quartz from India
-Aquamarine from Brazil & Pakistan

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,7
55,55,2022-03-18 20:07:44,"NEW jewelry to Delicate Series. Introducing new Tribal Bar setting.

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,8
56,56,2022-03-18 16:31:06,"NEW jewelry to Delicate Series. Introducing new Tribal Bar setting.

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,5
57,57,2022-03-18 16:30:09,"NEW jewelry to Delicate Series. Introducing new Tribal Bar setting.

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,33
58,58,2022-03-17 17:38:46,"Malachite & A Bedouin’s Dreams bracelet. 

Gemstones
-Chevron Amethyst 
-Blue Aventurine
-Pink Tourmaline 
-Phosphosiderite 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,2
59,59,2022-03-17 12:30:07,"Malachite & A Bedouin’s Dreams bracelet. 

Gemstones
-Chevron Amethyst 
-Blue Aventurine
-Pink Tourmaline 
-Phosphosiderite 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,4
60,60,2022-03-17 08:41:09,"Malachite & A Bedouin’s Dreams bracelet. 

Gemstones
-Chevron Amethyst 
-Blue Aventurine
-Pink Tourmaline 
-Phosphosiderite 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,6
