,index,date,caption,comments,likes
29,29,2021-10-16 18:51:24,"pink mangano calcite 💗

join us on tues, 19th october, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",2,151
30,30,2021-10-02 19:10:07,"carribean calcite 🏝

RESTOCKED BY POPULAR DEMAND!!!! 🌊 

join us on tues, 5th october, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",5,323
31,31,2021-09-20 16:23:55,"iolite spheres and freeforms 🔮

join us on tues, 21st september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",2,174
32,32,2021-09-19 22:02:34,"high quality sunstone, peach moonstone towers and spheres!! 🍁

join us on tues, 21st september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",4,99
33,33,2021-09-18 14:06:27,"ACCESSORIES MONDAY 💍✨

join us every monday for some pretty arm candies 😍💖

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,100
34,34,2021-09-12 21:12:49,"blue calcite towers and spheres 💎✨

join us on tues, 14th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,145
35,35,2021-09-11 19:58:57,"trolleite whale tails, obelisks, flames and hearts from brazil 🇧🇷💙💙💙💙💙

join us on tues, 14th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",7,221
36,36,2021-09-11 18:59:55,"quartz geodes from trancas, chihuahua, mexico 🇲🇽 

join us on tues, 14th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",3,197
37,37,2021-09-05 19:15:59,"ocean jasper coins and hearts 🛤💐

join us on tues, 7th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,117
38,38,2021-09-05 16:45:23,"mini lodolite points 🌿🌷[SOLD OUT]

join us on tues, 7th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,137
39,39,2021-09-04 20:17:45,"labradorite palms 🌈✨ [SOLD OUT]

join us on tues, 7th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,78
40,40,2021-09-03 21:10:48,"pink / polychrome jasper from indonesia 🇮🇩✨💖
-towers, spheres and clouds-

join us on tues, 7th september, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,136
41,41,2021-08-29 16:42:08,"pink amethyst 🌸💖
obelisk, freeform and bear head 🐻

join us on tues, 31st august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",4,186
42,42,2021-08-28 16:17:36,"spirit flower geodes 🌸💜 [SOLD OUT]

spirit flower geodes are a new find from San Benito, Chihuahua, Mexico 🇲🇽 

these geodes are a combination of chalcedony, fluorite and quartz.

join us on tues, 31st august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,169
43,43,2021-08-21 20:15:36,"carribean calcite, pink mangano calcite, pistachio calcite and pink banded onyx ✨💖

join us on tues, 24th august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",4,229
44,44,2021-08-14 19:28:16,"ACCESSORIES MONDAY 💍✨

join us every monday for some pretty arm candies 😍💖

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,114
45,45,2021-08-08 19:15:18,"green cubic fluorite from Madagascar 🇲🇬💚

join us on tues, 10th august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,76
46,46,2021-08-07 19:32:46,"grey celestite from Coahuila, Mexico 🇲🇽🤍

this batch was mined about 25 years ago! it’s hard to find them anymore! 🤩

join us on tues, 10th august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,40
47,47,2021-08-07 15:35:19,"white cactus quartz 🤍

join us on tues, 10th august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,96
48,48,2021-08-01 18:46:35,"spirit quartz 🌵[SOLD OUT]

join us on tues, 3rd august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,48
49,49,2021-07-31 17:43:46,"rainbow moonstone 🤍 [SOLD OUT]

join us on tues, 3rd august, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",7,286
50,50,2021-07-25 17:49:42,"elephant carvings 🐘💖

join us on tues, 27th july, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,38
51,51,2021-07-24 19:58:45,"white druzy agate from indonesia 🤍 [SOLD OUT]

join us on tues, 27th july, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",2,211
52,52,2021-07-16 21:28:02,"A P O P H Y L L I T E 😍

✨ pink apophyllite / high grade cubicle green apophyllite with white stilbite and okenite / high grade clear apophyllite ✨

join us on tues, 20th july, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",3,118
53,53,2021-07-10 15:37:21,"rainbow amethyst geodes 🌈

join us on tues, 13th July, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,142
54,54,2021-07-09 19:29:55,"SPICE UP YOUR BRACELETS 😍🍬

join us on 12th july, monday, for some cute charmiessss!!!!!! 😍💖

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,73
55,55,2021-07-09 06:06:39,"ACCESSORIES MONDAY 💍✨

join us on 12th july, monday, for these amazing hair claws 😍💖

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",14,140
56,56,2021-07-02 19:33:30,"rainbow amethyst geodes 🌈😍

highest quality rainbow amethyst from Uruguay 🇺🇾✨☺️

join us on tues, 6th july, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",10,232
57,57,2021-06-27 17:35:33,"aquamarine spheres, hearts 💙 (SOLD OUT)
morganite spheres 💖 (SOLD OUT)

join us on tues, 29th june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,120
58,58,2021-06-26 15:33:21,"vogels ✨ [SOLD OUT]

join us on tues, 29th june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",1,60
59,59,2021-06-25 23:03:30,"smoky and clear quartz faceted heart 🤍🤎

join us on tues, 29th june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,109
60,60,2021-06-20 19:09:49,"phantom amethyst tower 💜 [SOLD OUT]

join us on tues, 22nd june, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,37
