,index,date,caption,comments,likes
21,21,2022-01-18 12:49:17,"💰𝖈𝖓𝖞 𝖈𝖔𝖓𝖋𝖊𝖙𝖙𝖎 𝖘𝖈𝖔𝖔𝖕𝖘💰

Contains a curated mix of crystals for manifesting abundance! 🤑

We even included ingot, hulu, pagoda carvings and some premium items never before seen in confetti scoops: tiger carving pendant in JADE for the 🐅 new year‼️ 

DM to purchase✨",3,88
22,22,2022-01-13 18:36:16,"𝖘𝖎𝖑𝖛𝖊𝖗 𝖔𝖇𝖘𝖎𝖉𝖎𝖆𝖓 𝕭𝖚𝖉𝖉𝖍𝖆

Our intricately carved head of Buddha is now available in smaller sizes! We have silver obsidian, gold obsidian, green aventurine and fluorite✨

Buddha represents peace and tranquility in a home, while the head of Buddha symbolises wisdom and knowledge. Recommended spots to place a Buddha statue (or any statue of deity) are places of reverence. You may have them on your altars, at heights of at least eye level, and in restful, uncluttered spaces. Avoid bathrooms, bedrooms, kitchens, store rooms and laundry rooms. 

*limited release only! we’ve decided moving forward that we would only bring in complete Buddha carvings*

DM to enquire 💜",0,-1
23,23,2022-01-08 17:06:17,"🥵𝔞𝔩𝔩 ℑ 𝔴𝔞𝔫𝔱 𝔣𝔬𝔯 2022 𝔦𝔰 𝔞 𝔟𝔦𝔤 𝔣𝔞𝔱 𝔅𝔦𝔱𝔠𝔬𝔦𝔫🥵

first post of the new year and already dropping hard truths - us ladies don’t just want crystals, we want crypto too ✨🚀

we’ll see you tonight at 8pm! come hang out in our mini live as we kickstart our badassss year ahead with some HUAT crystals 💰

also don’t miss our CNY confetti scoops 🌞",7,-1
24,24,2021-12-27 13:59:42,"[ALL SOLD] ✨𝔭𝔯𝔦𝔰𝔪𝔰 𝔫𝔢𝔠𝔨𝔩𝔞𝔠𝔢✨

And that’s a wrap 🎁 There’s 12 special nocte souls out there in possession of our prisms necklaces! 

We hope you had a wicked yuletide celebration with loved ones✨

The nocte fam will be on a break till 4 January - all remaining orders will be shipped out then! Can’t wait to see you in 2022 🦋

-bel",1,-1
25,25,2021-12-19 02:28:58,"[ALL SOLD! BACKORDERS NOW OPEN! SHOP ON WEBSITE]
🔥 𝔤𝔬𝔱𝔱𝔞 𝔠𝔬𝔩𝔩𝔢𝔠𝔱 ‘𝔢𝔪 𝔞𝔩𝔩 🔥

Available for purchase individually too, but who doesn’t love discounts amirite 😜

1 for $20
Set of 6 for $99 (choose between snorlax or squirtle for your blue poké ball)

(Note that these are minis, 2-3cm tall!)",6,-1
26,26,2021-12-18 16:26:45,"🪞𝔞 𝔤𝔩𝔦𝔪𝔭𝔰𝔢 𝔦𝔫𝔱𝔬 𝔱𝔥𝔢 𝔪𝔞𝔤𝔦𝔠 𝔭𝔬𝔯𝔱𝔞𝔩🪞

We hope whenever you take a mirror selfie, you’ll look into the magic portal and see that you’re beautiful, peace-loving, worthy and all kinds of badass. 

With love and magic,
B",2,-1
27,27,2021-12-10 16:49:31,"🖤𝔪𝔢𝔪𝔢𝔫𝔱𝔬 𝔪𝔬𝔯𝔦🖤

Never before seen photographs of baby cosmo. Gotta start them young with crystal collecting 💎",9,214
28,28,2021-11-30 20:11:53,"“𝔐𝔦𝔯𝔯𝔬𝔯 𝔪𝔦𝔯𝔯𝔬𝔯 𝔬𝔫 𝔱𝔥𝔢 𝔴𝔞𝔩𝔩, ℑ 𝔞𝔪 𝔴𝔥𝔬 𝔶𝔬𝔲 𝔞𝔯𝔢 𝔩𝔬𝔬𝔨𝔦𝔫𝔤 𝔣𝔬𝔯”

Fall in love this Christmas/Yule, 

𝖇𝖊𝖜𝖎𝖙𝖈𝖍 𝖒𝖊 is a sweet, invigorating and playful concoction blended for the love seekers ❤️‍🔥 Why fall apart when you can fall in love 😳

Available on our website, link in bio.",1,110
29,29,2021-11-23 18:50:41,"𝖑𝖆𝖇𝖗𝖆𝖉𝖔𝖗𝖎𝖙𝖊 𝖑𝖆𝖚𝖌𝖍𝖎𝖓𝖌 𝕭𝖚𝖉𝖉𝖍𝖆 𝖇𝖆𝖌 𝖈𝖍𝖆𝖗𝖒

Your bag accessories don’t have to be boring! Introducing one of our Christmas/Yule specials: laughing Buddha bag charms in our favorite crystal, labradorite✨

Don’t we all need a lucky charm or two? 💜 
$38 SGD each.

Now available on our website. Limited quantity.
Designed and handmade in our studio🤞🏻",2,123
30,30,2021-11-19 17:40:52,"[SOLD] 𝖆𝖑𝖑 𝖎𝖓 𝖙𝖍𝖊 𝖓𝖆𝖒𝖊 𝖔𝖋 𝖑𝖔𝖛𝖊

Featured here is a skull carved from a rare gemstone, Kunzite - one of our top picks to activate your heart chakra 💖 Due to its rarity and price, you’ll hardly come across larger sized Kunzite carvings like this! 

Pssst, this one is sold but we have another piece available. DM to enquire✨💀",6,144
31,31,2021-11-18 17:33:04,"𝕳𝖆𝖑𝖑𝖔𝖜𝖊𝖊𝖓 𝖓𝖊𝖛𝖊𝖗 𝖗𝖊𝖆𝖑𝖑𝖞 𝖊𝖓𝖉𝖘…

But we’re getting into Christmas mood the illa nocte way (we promise!) 🎅🏼🌲🔮

Yet another spooky haul by @sugarcat__ 🐈‍⬛

Pictured-

/available via website/
i. nine lives elixir enamel pin 
ii. velvet dreams roller blend 
iii. calming circle roller blend

/available via DMs/
i. opalite bastet cat
ii. mexican onyx crescent moon",2,135
