,index,date,caption,comments,likes
26,26,2021-12-29 04:25:14,"Sneak Preview to What’s coming up on 7th Jan, to the world of Huatness! 💰💰💰

#crystal #crystals #sgcrystal #crystalsg #huatnesstothemax #citrine",2,190
27,27,2021-12-17 13:42:06,"Putting some new Trolleite Towers in cupcake  cut, cookie shaped palms and hearts for tonight! Feeling soooo zen while looking these photos 🧘🏻‍♀️ we hope you're feeling the same too! 💫

❅ Available on tonight's live, 7pm SGT",4,195
28,28,2021-12-16 21:30:54,"Zuni Bear 🐻

Zuni Bear is a Native American symbol that is considered a sacred ""great protector"" and represents great strength, power, healing, and self-knowledge.

We have an army of papa bear, mama bear and baby bear! Aren't they look adorable?  Available in our custom cut — Obsidian / Moss Agate / Rose Quartz / Tiger Eye / Green Aventurine

❅ Available on 17 Dec, 7pm SGT (Fri)",2,45
29,29,2021-12-16 18:48:48,"Lucky Clover 🍀 — Moss Agate

It's our custom cut lucky clover for the last live of 2021! Who needs some luck for the new year ahead? 🙋🏻‍♀️

Also, we have some nice druzy towers on the table as well! 🤤

❅ Available on 17 Dec, 7pm SGT (Fri)",2,71
30,30,2021-12-14 18:08:03,"Dropping some Pink Amethyst towers and puffy hearts tomorrow 💖

They are really glittery in real life 💫 Come by tomorrow for some Christmas surprise add-on to the table!

☃ Available on 15 Dec, 7pm SGT!

#pinkamethyst #purpleamethyst #crystalhealing #healingcrystals #crystallovers #crystallovers #crystalsingapore #mineral #crystalsg",1,77
31,31,2021-12-13 17:01:37,"Ｇｒｅｅｎ Ａｖｅｎｔｕｒｉｎｅ

Being the stone of Opportunity, Green Aventurine is often used to increase favour in games or competitions of chance and manifesting wealth and prosperity. It's energy makes an excellent partner for boosting a person's chances in any scenario. 💰🪙🆙

☃ Available on 15 Dec, 7pm SGT (Wed) 💚",3,49
32,32,2021-12-12 21:58:33,"Ｇｒｅｅｎ Ｓａｒｄｏｎｙｘ

Green Sardonyx strengthens our willpower, increases our stamina and vigour and encourages self-control. It makes us more courageous, self-confident and generates an attitude of hope and optimism.

It also attracts good fortune and positive energy to your life. It helps you to see opportunities for prosperity and good luck in all areas of your life.

☃ Available on 15 Dec, 7pm (Wed) SGT 💚",3,84
33,33,2021-12-12 19:16:16,"𝕁 𝕆 𝕃 𝕃 𝕐  ℂ ℍ ℝ 𝕀 𝕊 𝕋 𝕄 𝔸 𝕊 🎄
𝟙𝟝 𝔻𝕖𝕔 | 𝕎𝕖𝕕𝕟𝕖𝕤𝕕𝕒𝕪 | 𝟟𝕡𝕞

It's Fated's 1st Christmas and we are excited to put together these beautiful pieces cus we thought that the color palette looks so beautiful 🤤

— Pink Amethyst
— Green Aventurine 
— Green Sardonyx
— Mini Angels and Mushrooms",6,63
34,34,2021-12-09 13:03:44,"【Intern’s New Drop】
Double Braided Ring Sunstone ! 

Featuring this week magic beans 
- Sunstone
- Black Tourmaline w/ Moonstone
- Aquamarine 
- Rose Quartz
- Amethyst 
- Fluorite 

Give some love to intern’s ig page @dainty.ace 🤣

See ya on 10th Dec 7pm @fated.itis LIVE !!

#wirerings #wirejewelry #braidedwirerings #crystalrings #crystaljewelry #uniquejewelry #handmaderings #wirewrappedjewelry #wirewrappedrings #handmadejewelry #silverring  #smallbusinesslove #jewelrybusiness #jewelryshop #smallbusinesssupport",1,52
35,35,2021-12-08 18:47:12,"🔮Pushpull Bracelets - Amethyst Collection🔮

Amethyst is one of the most powerful and recommended crystals to all crystal collector who just began their crystal journey. 

Featuring amethyst w/ 
- Galaxy Tigereye
- Natural Citrine
- Amethyst Phantom
- Jadeite

Pushpull bracelets is one of the best idea to gift this season!! 
Never having to worry getting a wrong wrist size for your loved ones!

Available this Friday, 7pm @fated.itis LIVE! 

#amethyst #pushpullbracelets",0,39
36,36,2021-12-08 13:49:18,"Lucky Mushrooms 🍄

Do you know that ancient Germans identify Mushrooms as a lucky charm? It all started with a strain of mushroom that only grows at the roots of Christmas trees, causing them to be identified as a lucky symbolic! 

In Feng Shui — when wild mushrooms start to sprout in your garden, it is a sign of good news coming your way! And by having ornamental mushrooms in your garden, it creates the symbolic meaning of 𝐠𝐨𝐨𝐝 𝐟𝐨𝐫𝐭𝐮𝐧𝐞 in your life.

Available in —
Kiwi Jasper
Clear Quartz
Green Aventurine
Agate
Opalite
Strawberry Quartz
Larvikite
Crazy Lace Agate
Gold Sandstone
Lepidolite
Tiger Eye
Dalmatian Jasper
Unakite
Blue Sandstone
Ocean Jasper
Moss Agate

Adoption of lucky mushies is on 10th Dec, 7pm! 🛒🍄",1,57
37,37,2021-12-07 13:47:34,"☀️🌕 — Sunstone x Moonstone

They deserve another post cus they're so gorgeoussssss ❤️ Swipe to see the Moonstone flash and Sunstone flash 👉

Join us on our live this Friday, 10th Dec 7pm SGT to gorgeous flashes 🤩",2,56
38,38,2021-12-07 13:22:10,"🌚🌝 — Black Moonstone

As a special member of the moonstone family, black moonstones are known for being extremely powerful for many reasons. It has many meanings associated with it such as new life, the ability to enhance mental agility, as well as the essence of female empowerment.

Black moonstone is highly prized for its properties such as its black essence, silvery-green sheen and peach veins which are all associated with different chakra point meanings like birth, creativity and a connection to the divine. To add to this, the black moonstone is really useful during healing sessions as it is thought to be helpful when calming the mind, aiding in grounding one’s self and allowing one to trust their gut instinct. As well as being desired for their spiritual power.

Let's go moon-gazing on 10th Dec, 7pm SGT 🥰",1,50
39,39,2021-12-06 17:43:10,"☀️🌕 — Sunstone x Moonstone 

Sunstone and Moonstone combination is an excellent crystal association that generates happy energies of joy, vitality, balance, and hope to help you manifest a meaningful life transformation and shift your mindset to appreciate your life and live happily.

Sunstone is said to help aid in self-control, acts as an antidepressant, can amplify energy and thoughts, and promotes spiritual growth and creative power. This stone is a very happy and joyful stone that inspires creativity, brings good luck, self power, can lift a dark mood, and helps with procrastination. Sunstone is also known to help with regulating autonomic nervous system disorders, healing sore throats, stomach problems, cartilage problems, and general aches and pains.

Moonstone is an extremely protective stone. Great for protecting travelers, balancing female hormones, and calming the mind. Moonstone is said to help bring about new beginnings, peace, and tranquility. This lovely stone can also be beneficial when trying to conceive, during breast feeding, PMS support, during pregnancy and childbirth. Moonstone helps those who suffer from stress and offers support to those who carry old emotional wounds.

Available on 10th Dec, 7pm SGT 💫💖

#moonstone #sunstone #crystalsg #crystalhealing",0,67
40,40,2021-12-03 18:23:01,"🦄🎀🔮

We’re ready, See ya 7pm later!",0,24
41,41,2021-12-03 16:55:30,"infused crystal resin trays ❤️ we are back with more this Christmas 🎄 
.
.
#resin #crystal #tray #citrine #shiba #narwhale #huat #handmade #madewithlove",1,52
42,42,2021-12-02 17:16:48,"Presenting to you these pretty little accessories handcrafted by our little intern @dainty.ace 🥳

We have plenty of exclusive gift-ready items such as earrings, hairclips, rings, embed with super beneficial crystals beads and chips, all ready for this festive gifting! 

Do give a follow to our little intern @dainty.ace for more sneaks of these exclusive accessories 💖

Limited pieces, exclusively available on 3rd Dec (Friday), 7pm! 💍",0,27
43,43,2021-12-01 18:53:01,"After months of preparation, we’re ready to introduce our new daughter (2nd child) co. - Pushpull Bracelets by @aggy.pushpull ! 🙋‍♀️

Head over to support and follow Aggy on these gorgeous handmade Pushpull bracelets - never having to fret on gifting a wrong size bracelets for yourself or loved ones! ♥️♥️♥️

It’s gonna be a great festive gift! 🎁

This Friday (3rd Dec), 7pm @fated.itis Live! 🔮🔮🔮

#bracelets #pushpullbracelets #pushpull #accessories #crystal #crystals #crystalsg #sgcrystal",0,58
44,44,2021-12-01 17:10:47,"Snow Druzy Agate

A stone of balance — it grounds us making us feel more in control and more stable mentally, emotionally and spiritually. It can clarify and purify your mind as well as enhances inner peace 🤍

Available on 3rd Dec, 7pm SGT 🌼

#snowdruzyagate #druzy #crystalsg #healingcrystals #whitecrystal",0,37
45,45,2021-11-28 19:40:07,"Lavender Rose Quartz 🧜🏻‍♀️

It is a stone of unconditional love, healing the heart and of joy. It is a type of Rose Quartz with high level of titanium or manganese within it giving us a sort of lilac pink 💜

It is a stone of healing and said to alleviate lack of self worth and low self esteem, and helps to assist with appreciating the things around you.

— Comes in mini towers, mini spheres, tumbles, free forms
Available on 3rd Dec, 7pm SGT 💫

#lavenderrosequartz #rosequartz #crystalsg #healingcrystals #loveyourself #lilac",0,68
46,46,2021-11-28 17:33:47,"Blue Rose Quartz 🧚🏻‍♀️

An extremely rare variety of Rose Quartz which has all the properties of a Rose Quartz. The stone of unconditional love and soothes the stress and tension of the heart 💙

BRQ comes from a mine in Madagascar that produces both Rose Quartz and Girasol, giving us this beautiful grey hue with some hints of blue from within.

— Comes in palms / spheres / egg / towers (rarely seen) / freeform 
Available on 3rd Dec, 7pm SGT 👋

#bluerosequartz #rosequartz #crystalsg #healingcrystals #brq",0,73
