Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
121,cindyng1811,324,2001,FALSE,6.175925926,245
122,felipyon,1171,1724,FALSE,1.472245944,2556
123,xcashgolden,19,17,FALSE,0.894736842,0
124,hic_1411,19,17,FALSE,0.894736842,0
125,ila_nnnnn,955,6039,TRUE,6.323560209,2
126,pauline_tay1704,18,147,TRUE,8.166666667,4
127,babyjuju,51,283,TRUE,5.549019608,239
128,im_pokywoky,111,450,TRUE,4.054054054,199
129,llylylyly,452,470,TRUE,1.039823009,101
130,janetong2000,194,209,FALSE,1.077319588,58
131,missyaffair,217,179,FALSE,0.824884793,58
132,gladasylang,129,837,TRUE,6.488372093,45
133,yasminzbd,983,7499,FALSE,7.628687691,15
134,reddyy89,0,131,TRUE,131,0
135,hy0909,266,420,TRUE,1.578947368,1021
136,inatan3872,40,180,FALSE,4.5,0
137,ireneloh80,221,1038,TRUE,4.696832579,277
138,nurulfatinas,483,2076,TRUE,4.298136646,215
139,lj_ooi100,251,1603,FALSE,6.386454183,34
140,ikin.croffisa,1673,2117,TRUE,1.265391512,931
141,pigletlicious,86,1796,TRUE,20.88372093,1352
142,jjjen16,48,216,FALSE,4.5,335
143,pearllfy,297,450,TRUE,1.515151515,545
144,shopaholicdreams,57,95,TRUE,1.666666667,604
145,clarapp82,225,1448,TRUE,6.435555556,34
146,choice_minimalist,19,454,TRUE,23.89473684,8
147,rachelsuyi,20,66,TRUE,3.3,11
148,jayexong,375,876,TRUE,2.336,71
149,niracrystal_wholesale,212,3721,FALSE,17.55188679,166
150,sharakader,57,2017,TRUE,35.38596491,116
151,9sxd9,0,559,TRUE,559,10
152,imnotthatplainjane,406,998,TRUE,2.458128079,3091
153,thebigbiq,646,762,FALSE,1.179566563,194
154,senoriessa,1297,1108,TRUE,0.854279106,200
155,brigitte2622,170,525,TRUE,3.088235294,596
156,superstardadada,113,326,FALSE,2.884955752,335
157,eliiii_elephant,11,106,FALSE,9.636363636,5
158,simbeehua,31,123,TRUE,3.967741935,138
159,katcyy,148,126,FALSE,0.851351351,47
160,wnd.123,480,1637,TRUE,3.410416667,160
161,h_m.traderr,1782,4349,FALSE,2.440516274,818
162,steadynad,442,589,FALSE,1.332579186,173
163,medusafreya,120,1118,TRUE,9.316666667,58
164,estariand,683,2120,FALSE,3.103953148,2068
165,micheonggm,192,282,TRUE,1.46875,1194
166,ginnywoo,60,440,TRUE,7.333333333,33
167,ndh_.rh,272,264,FALSE,0.970588235,6
168,jmieonders,107,379,TRUE,3.542056075,157
169,babygabby,58,423,TRUE,7.293103448,1
170,vnehta,84,752,TRUE,8.952380952,3
171,rachellimerdinger,132,304,TRUE,2.303030303,105
172,anaqilyanahairi,5967,992,FALSE,0.166247696,985
173,jmj1801,825,3545,TRUE,4.296969697,5993
174,ahaneah,33,864,TRUE,26.18181818,1331
175,syl.vivi.anne,80,325,TRUE,4.0625,219
176,iamtitimasdollah,97,476,TRUE,4.907216495,13
177,luwenagoh,78,144,TRUE,1.846153846,326
178,eve_li8,77,1046,FALSE,13.58441558,17
179,mt.chua.7,111,152,FALSE,1.369369369,573
180,suhailafnsm,51,747,TRUE,14.64705882,242
181,annacxyy,475,649,TRUE,1.366315789,2
182,maomaokat10,290,1700,TRUE,5.862068966,53
183,thinklikeagirl,143,1708,TRUE,11.94405594,638
184,magical_crystaland,24,123,TRUE,5.125,4
185,jkln2218,336,1227,TRUE,3.651785714,210
186,totoro_secretgarden,89,394,FALSE,4.426966292,14
187,gaonanie,59,109,TRUE,1.847457627,67
188,viiviishinnn,474,400,TRUE,0.843881857,168
189,angelus_en_noir,81,261,TRUE,3.222222222,892
190,_xirahhh,314,2017,TRUE,6.423566879,2
191,strwbrrykiko,314,2017,TRUE,6.423566879,2
192,ireneong67,43,110,FALSE,2.558139535,9
193,chxntxll,230,3396,TRUE,14.76521739,453
194,intoxicatedcaffeine,116,348,TRUE,3,2319
195,bubble._.bobble,79,293,TRUE,3.708860759,114
196,deliaaaacjy,119,687,TRUE,5.773109244,726
197,ckhayashi19,34,86,FALSE,2.529411765,5
198,remixt,157,850,TRUE,5.414012739,617
199,cheecheescheese,294,470,FALSE,1.598639456,127
200,adrienechin,205,251,TRUE,1.224390244,710
201,ykristabella,449,645,FALSE,1.436525612,57
202,pohrebecca,64,773,TRUE,12.078125,1071
203,lxntricia,372,347,TRUE,0.932795699,15
204,marilynpang_40,50,231,TRUE,4.62,1
205,dianatanhs,306,408,TRUE,1.333333333,2
206,island_gemstore,306,408,TRUE,1.333333333,2
207,annapoh.low,41,103,TRUE,2.512195122,687
208,ets.elec,20,160,TRUE,8,155
209,rosafeb22,2015,1164,FALSE,0.577667494,1393
210,bimi_le,110,359,TRUE,3.263636364,259
211,dolp,400,338,TRUE,0.845,555
212,ricks_nandwani,14125,215,FALSE,0.015221239,1190
213,mineralsrocksshop2.0,14125,215,FALSE,0.015221239,1190
214,askvifirst,147,179,FALSE,1.217687075,10
215,linakwa,321,613,TRUE,1.909657321,632
216,cassann55,63,53,FALSE,0.841269841,0
217,wan.yeee,1115,791,TRUE,0.70941704,47
218,rogerina85,156,406,TRUE,2.602564103,210
219,priscillakoo,49,205,TRUE,4.183673469,821
220,miracle_of_crystal,1,326,TRUE,326,0
221,gouwanne,274,1188,TRUE,4.335766423,505
222,be.the.light.crystals,529,499,FALSE,0.943289225,67
223,11111_shasha,6,2101,TRUE,350.1666667,0
224,29.nnny,182,504,TRUE,2.769230769,2276
225,bethlim83,433,644,TRUE,1.487297921,337
226,felichan,184,205,FALSE,1.114130435,243
227,evon.lim.944,24,26,FALSE,1.083333333,1
228,estherli545,446,1875,FALSE,4.204035874,47
229,babycoolkids.s,12,1212,TRUE,101,0
230,yuen_enn,342,469,TRUE,1.371345029,21
231,margaretcsk,42,100,TRUE,2.380952381,1
232,mistihearts_,123,317,FALSE,2.577235772,51
233,babe_74,52,88,TRUE,1.692307692,57
234,altheabriseis_iii,286,1182,FALSE,4.132867133,1712
235,cherriesty,108,1124,TRUE,10.40740741,3287
236,ssiewkee,45,85,TRUE,1.888888889,30
237,apriltham,189,260,TRUE,1.375661376,284
238,itsaddumb,2582,1824,FALSE,0.706429125,37
239,kareenl_,299,361,FALSE,1.20735786,85
240,aj_wiz21,417,293,FALSE,0.70263789,11
241,simplicitywine,748,1364,TRUE,1.823529412,204
242,ichi.umai,1378,264,FALSE,0.191582003,36
243,ross3ll3,165,280,TRUE,1.696969697,5
244,piggy_shan1102,632,562,FALSE,0.889240506,780
245,alocasiabeauty,49,90,FALSE,1.836734694,31
246,raczing,108,428,TRUE,3.962962963,154
247,counting_elephant,341,1060,FALSE,3.108504399,567
248,ivyangcy,296,992,FALSE,3.351351351,490
249,san3_8989,493,1021,TRUE,2.070993915,374
250,audisaaclarisse,21,120,TRUE,5.714285714,517
251,tfjosephine,44,110,FALSE,2.5,0
