,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
3217,whatisit___,427,1796,TRUE,4.206088993,331
3218,lohqiao,325,966,TRUE,2.972307692,846
3219,mylins,441,1070,TRUE,2.426303855,1434
3220,ivy33,290,545,TRUE,1.879310345,512
3221,ms_jpace,62,93,FALSE,1.5,44
3222,nana_salim83,247,1909,TRUE,7.728744939,1238
3223,ceciliaykloh,93,230,TRUE,2.47311828,373
3224,crystalshop_xiang,3580,3570,FALSE,0.997206704,1578
3225,estwoo,394,1085,FALSE,2.753807107,762
3226,pandorajl,83,1111,TRUE,13.38554217,1988
3227,sal_anuar,86,198,TRUE,2.302325581,2116
3228,ngshuyi87,249,484,TRUE,1.9437751,72
3229,__eve.choo__,1053,1379,FALSE,1.309591643,1062
3230,lunaelise.crystal,609,275,FALSE,0.451559934,37
3231,__c_k__x_w__,186,527,TRUE,2.833333333,3362
3232,brewingbeessg,100,201,FALSE,2.01,92
3233,meisin_aveline,2007,1630,FALSE,0.812157449,385
3234,pennyjoel_11,946,2670,FALSE,2.822410148,123
3235,cheryl.t.h.3,54,434,TRUE,8.037037037,710
3236,elskkkk,168,368,TRUE,2.19047619,197
3237,eilpoh,26,334,TRUE,12.84615385,62
3238,hatniamanso,48,729,TRUE,15.1875,194
3239,cynthia.ong77,81,34,TRUE,0.419753086,17
3240,gutsykat,68,233,TRUE,3.426470588,405
3241,michellekohcoal,373,1116,TRUE,2.991957105,239
3242,cathdrinkteh,54,169,TRUE,3.12962963,0
3243,samchan6368,108,1614,FALSE,14.94444444,369
3244,nisa_121,124,1860,TRUE,15,203
3245,cloudninie,279,491,TRUE,1.759856631,2009
3246,traceymama,671,590,FALSE,0.87928465,977
3247,jiahui11111,66,1157,TRUE,17.53030303,0
3248,amandaknightcat,360,2244,TRUE,6.233333333,2272
3249,yourredlily,201,1102,TRUE,5.482587065,105
3250,esstory970,5,16,FALSE,3.2,0
3251,kerynyeoh,229,476,TRUE,2.07860262,414
3252,walshaw_lisa,92,720,FALSE,7.826086957,0
3253,i_nolunt_mergi,149,438,TRUE,2.939597315,0
3254,msjohong,48,206,FALSE,4.291666667,0
3255,ywywennn,60,215,TRUE,3.583333333,64
3256,cher_belks,28,95,TRUE,3.392857143,0
3257,twcheng__,583,910,TRUE,1.560891938,1050
3258,pinkolyn,82,251,TRUE,3.06097561,54
3259,cheryltoes,514,607,TRUE,1.180933852,452
3260,stazquek,675,1064,FALSE,1.576296296,237
3261,pekshirley,75,46,FALSE,0.613333333,1
3262,khistarz,53,160,TRUE,3.018867925,29
3263,wisteria.petal,255,158,FALSE,0.619607843,13
3264,ecstasyning,402,831,TRUE,2.067164179,818
3265,lele.thepom,1198,449,FALSE,0.374791319,94
3266,yyingjiee,1220,997,FALSE,0.817213115,2602
3267,le.venusquinn,2525,4361,FALSE,1.727128713,1458
3268,abcdefghff1239876,2525,4361,FALSE,1.727128713,1458
3269,_cheggs,730,932,TRUE,1.276712329,380
3270,sherryloh,628,828,TRUE,1.318471338,1646
3271,weieees,281,644,TRUE,2.291814947,71
3272,cabochon_suplier,1791,7386,FALSE,4.123953099,2648
3273,quekangeline,22,149,TRUE,6.772727273,0
3274,sereneel,282,573,TRUE,2.031914894,181
3275,ara_bellastone,550,2172,FALSE,3.949090909,223
3276,error_dna,132,137,FALSE,1.037878788,28
3277,jeslynnah,90,129,TRUE,1.433333333,206
3278,pearlenelow,1371,458,TRUE,0.334062728,542
3279,classy_crystals_wholesale,1474,5959,FALSE,4.042740841,219
3280,ellure_teenasee,864,1298,FALSE,1.502314815,1586
3281,user896261030,8,815,TRUE,101.875,1
3282,cjycat,122,107,FALSE,0.87704918,292
3283,ruihantan,586,1061,FALSE,1.810580205,1169
3284,crystalradixltd,2205,7397,FALSE,3.354648526,431
3285,fen_clud,397,730,FALSE,1.838790932,59
3286,joannelim8079,48,38,FALSE,0.791666667,71
3287,elaine_shiho,0,994,TRUE,994,113
3288,imannalim,96,369,TRUE,3.84375,285
3289,callycallycallycallycally,161,373,TRUE,2.316770186,384
3290,yeapangela,32,42,FALSE,1.3125,0
3291,jaslyntan71,911,610,FALSE,0.669593853,376
3292,limmyssg,17753,7504,FALSE,0.422689123,1397
3293,claralzn,665,776,TRUE,1.166917293,1008
3294,dadawee89,1054,3069,TRUE,2.911764706,405
3295,sun2323,40,87,TRUE,2.175,38
3296,jassy.jm,309,672,TRUE,2.174757282,1368
3297,zanne.eats,77,143,FALSE,1.857142857,15
3298,lindayhsin,681,3901,FALSE,5.728340675,179
3299,yean_teng,126,206,FALSE,1.634920635,31
