,index,date,caption,comments,likes
20,20,2022-02-13 01:45:25,"Solfeggio frequencies refer to specific tones of sound that help with and promote various aspects of body and mind health. 

These frequencies are reputed to date back to ancient history and said to be the fundamental sounds used in both Western Christianity and Eastern Indian religions, chanted by the Gregorian Monks and in ancient Indian Sanskrit chants. 

Physician and researcher, Dr. Joseph Puleo, rediscovered Solfeggio frequencies in the 1970s, bringing their benefits back into public awareness. 
These Solfeggio frequencies were believed to profoundly affect the conscious and subconscious mind in order to stimulate healing and promote vitality. 

Many scientists have since unearthed more evidence supporting the positive effects that these frequencies have on the human body.

Check out the link below:
https://www.gemstory.asia/why-listen-to-solfeggio-frequencies/",0,31
21,21,2022-02-07 01:20:52,"Happy REN RI to all! 人日快乐! 🍊🍊🎉

📣📣 Storewide 𝐌𝐎𝐕𝐈𝐍𝐆 𝐔𝐏 𝐒𝐀𝐋𝐄 🆙️ (UP TO 40% OFF) starts from TODAY! Check out the exclusive offers we have IN-STORE for all commencing from 7 Feb - 28 Feb ! 🛒🛒🌈🌈

Visit us at 231 Bain Street #01-73 S180231 coming weeks! 

Seeya around! ❤👋👋

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #happyrenri #人日快乐 #movingupsale #upto40percent #",0,16
22,22,2022-02-04 03:10:36,"Happy 立春! 开工大吉! 🍊 Blessed LI CHUN to all! ♥️♥️

𝐕𝐈𝐒𝐈𝐓 𝐔𝐒 this coming few weeks to check out our 𝐒𝐓𝐎𝐑𝐄𝐖𝐈𝐃𝐄 𝐌𝐎𝐕𝐈𝐍𝐆 𝐔𝐏 𝐒𝐀𝐋𝐄 happening from 7 Feb - 28 Feb 2022. 📣📣

𝙐𝙋 𝙏𝙊 40% 𝙊𝙁𝙁 on selected items! (At least MIN 20% ON ALL ITEMS STOREWIDE) 📢📢

🎉🎉 We are happy to announce that we are 𝑬𝑿𝑷𝑨𝑵𝑫𝑰𝑵𝑮 & 𝑴𝑶𝑽𝑰𝑵𝑮 𝑼𝑷 to a bigger premise coming March to connect more to our crystal-lover community! This new space will be about double the size of our current retail store front with the aim to provide more services/activities and product offerings! 

We are truly thankful to all our customers who have been with us and supported us during the last 2 years at our current location. We hope to see all of you in our new premise soon coming March! 😊❤

Stay tuned for more 𝐎𝐏𝐄𝐍𝐈𝐍𝐆 𝐮𝐩𝐝𝐚𝐭𝐞𝐬 towards end of the month as we embarked on this transformation in the brand new 2022! 🥂🥂",5,40
23,23,2022-02-01 02:18:06,GEMSTORY 祝大家大年初一 心想事成 万事如意 健康平安 合家欢乐 团圆美满! Wishing all a Happy & Prosperous Lunar TIGER 🐯 Year! ROARS! ❤,0,12
24,24,2022-01-30 23:26:20,收工咯! GEMSTORY wishes all a prosperous and blessed Lunar New Year!,0,27
25,25,2022-01-30 02:14:04,"Happy Subday all! Counting down 2 days to our lunar new year 2022! Happy 🐯 year ahead!  Stay blessed and may all be filled with abundance, great health & longevity! ❤❤

🧧 Huat’s your lucky charm this Lunar New Year?

𝗡𝗘𝗪: 𝗪𝗲 𝗵𝗮𝘃𝗲 𝗷𝘂𝘀𝘁 𝗹𝗮𝘂𝗻𝗰𝗵𝗲𝗱 𝗼𝘂𝗿 𝗙𝘂 (福), 𝗟𝘂 (禄), 𝗦𝗵𝗼𝘂 (寿) 𝘀𝗲𝗿𝗶𝗲𝘀 𝘁𝗼 𝗯𝗿𝗶𝗻𝗴 𝘆𝗼𝘂 𝗺𝗼𝗿𝗲 𝗮𝗯𝘂𝗻𝗱𝗮𝗻𝗰𝗲 𝗮𝗻𝗱 𝗵𝗮𝗽𝗽𝗶𝗻𝗲𝘀𝘀 𝗮𝘀 𝘄𝗲 𝗿𝗼𝗹𝗹 𝗶𝗻𝘁𝗼 𝘁𝗵𝗲 𝗻𝗲𝘄 𝘆𝗲𝗮𝗿!

Each set brings about a unique energy, creating a more positive state that you might just need to get rid of any negative energy as you prepare yourself for the new year. Get ready to put on some good luck charm and let the right energy flow. 

🖼️ Swipe images to view more.

👇To purchase, head over to the link below (access link at bio page) : www.gemstory.asia/product-category/cnyexclusive

#abundanceofgems",0,9
26,26,2022-01-29 02:36:20,"Happy Saturday folks! Counting down to our lunar new year 2022! Huat 🐯 year ahead! 

🧧 Huat’s your lucky charm this Lunar New Year?

𝗡𝗘𝗪: 𝗪𝗲 𝗵𝗮𝘃𝗲 𝗷𝘂𝘀𝘁 𝗹𝗮𝘂𝗻𝗰𝗵𝗲𝗱 𝗼𝘂𝗿 𝗙𝘂 (福), 𝗟𝘂 (禄), 𝗦𝗵𝗼𝘂 (寿) 𝘀𝗲𝗿𝗶𝗲𝘀 𝘁𝗼 𝗯𝗿𝗶𝗻𝗴 𝘆𝗼𝘂 𝗺𝗼𝗿𝗲 𝗮𝗯𝘂𝗻𝗱𝗮𝗻𝗰𝗲 𝗮𝗻𝗱 𝗵𝗮𝗽𝗽𝗶𝗻𝗲𝘀𝘀 𝗮𝘀 𝘄𝗲 𝗿𝗼𝗹𝗹 𝗶𝗻𝘁𝗼 𝘁𝗵𝗲 𝗻𝗲𝘄 𝘆𝗲𝗮𝗿!

Each set brings about a unique energy, creating a more positive state that you might just need to get rid of any negative energy as you prepare yourself for the new year. Get ready to put on some good luck charm and let the right energy flow. 

🖼️ Swipe images to view more.

👇To purchase, head over to the link below (access link at bio page) : www.gemstory.asia/product-category/cnyexclusive

#abundanceofgems",0,16
27,27,2022-01-28 04:09:55,"🧧 Huat’s your lucky charm this Lunar New Year?

𝗡𝗘𝗪: 𝗪𝗲 𝗵𝗮𝘃𝗲 𝗷𝘂𝘀𝘁 𝗹𝗮𝘂𝗻𝗰𝗵𝗲𝗱 𝗼𝘂𝗿 𝗙𝘂 (福), 𝗟𝘂 (禄), 𝗦𝗵𝗼𝘂 (寿) 𝘀𝗲𝗿𝗶𝗲𝘀 𝘁𝗼 𝗯𝗿𝗶𝗻𝗴 𝘆𝗼𝘂 𝗺𝗼𝗿𝗲 𝗮𝗯𝘂𝗻𝗱𝗮𝗻𝗰𝗲 𝗮𝗻𝗱 𝗵𝗮𝗽𝗽𝗶𝗻𝗲𝘀𝘀 𝗮𝘀 𝘄𝗲 𝗿𝗼𝗹𝗹 𝗶𝗻𝘁𝗼 𝘁𝗵𝗲 𝗻𝗲𝘄 𝘆𝗲𝗮𝗿!

Each set brings about a unique energy, creating a more positive state that you might just need to get rid of any negative energy as you prepare yourself for the new year. Get ready to put on some good luck charm and let the right energy flow. 

🖼️ Swipe images to view more.

👇To purchase, head over to the link below (access link at bio page) : www.gemstory.asia/product-category/cnyexclusive

#abundanceofgems",0,16
28,28,2022-01-27 03:44:10,"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐧𝐠 𝐡𝐨𝐮𝐫𝐬 𝐝𝐮𝐫𝐢𝐧𝐠 𝐂𝐍𝐘 𝐰𝐞𝐞𝐤! 

Wishing everyone a Happy and Prosperous coming Lunar New Year! Stay blessed, healthy & abundant! Be grateful to everything around always! ❤

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #happylunarnewyear #tigeryear2022 #operatinghourscny",0,14
29,29,2022-01-26 03:08:01,"[Giveaway] We are celebrating this auspicious Lunar New Year by giving away 3 auspicious Gem sets to 11 lucky winners. 

𝗪𝗵𝗮𝘁 𝘆𝗼𝘂 𝘄𝗶𝗹𝗹 𝘄𝗶𝗻:
Fu (福): Drusy Geode set (worth $108) x 4 winners
Lu (禄): Bracelet (worth $118) x 3 winners
Shou (寿): Decor Display With Heart Chakra Stone (worth $68) x 4 winners

𝗧𝗼 𝘄𝗶𝗻 𝘁𝗵𝗶𝘀:
1. FOLLOW us on Facebook (Gemstory.asia) or Instagram (gemstorysg) and LIKE this post. 
2. Screenshot the word of the year! Which one did you get? Win – 福 (Love & Happiness), 禄 (Wealth & Abundance), or 寿 (Health & Prosperity).
3. Comment below how the selected word, Fu, Lu or Shou, speaks to you in 2022.
4. Lastly, tag 2 friends in the same comment.

Giveaway ends 5 Feb 2022, and the 11 lucky winners will be contacted via Instagram DM or Facebook PM. Good luck! 

#AbundanceOfGems",52,51
