Day of Week,Hour of Day,commentCount,likeCount
Sunday,9,0.8333333333333334,14.166666666666666
Wednesday,11,0.7916666666666666,11.791666666666666
Thursday,14,0.7741935483870968,9.193548387096774
Thursday,9,0.7741935483870968,8.580645161290322
Monday,13,0.7619047619047619,4.0476190476190474
Saturday,1,0.75,21.25
Tuesday,9,0.7222222222222222,7.444444444444445
Saturday,5,0.7142857142857143,20.428571428571427
Monday,10,0.7142857142857143,17.38095238095238
Thursday,19,0.7037037037037037,7.37037037037037
Wednesday,8,0.7,41.0
Wednesday,9,0.6923076923076923,15.153846153846153
Thursday,16,0.6666666666666666,9.916666666666666
Thursday,3,0.65,11.05
Tuesday,18,0.631578947368421,2.3157894736842106
Sunday,19,0.6,4.0
Tuesday,20,0.6,2.6
Sunday,3,0.6,17.0
Wednesday,6,0.5833333333333334,4.666666666666667
Monday,12,0.5714285714285714,4.285714285714286
Thursday,2,0.5555555555555556,7.444444444444445
Thursday,15,0.5333333333333333,7.266666666666667
Monday,8,0.5333333333333333,11.8
Saturday,6,0.5,5.875
Friday,17,0.5,4.833333333333333
Monday,3,0.5,28.5
Wednesday,1,0.5,15.25
Monday,6,0.5,16.833333333333332
Saturday,2,0.5,9.5
Monday,7,0.5,14.0
Sunday,1,0.5,13.0
Saturday,18,0.5,3.875
Thursday,17,0.5,4.583333333333333
Tuesday,13,0.4666666666666667,5.733333333333333
Wednesday,19,0.4423076923076923,2.230769230769231
Tuesday,11,0.4,6.04
Friday,3,0.37037037037037035,6.62962962962963
Monday,5,0.3333333333333333,9.555555555555555
Friday,9,0.3333333333333333,32.666666666666664
Thursday,4,0.3157894736842105,10.842105263157896
Sunday,5,0.3076923076923077,4.3076923076923075
Friday,20,0.3076923076923077,2.230769230769231
Friday,7,0.3,32.0
Monday,21,0.3,4.9
Thursday,20,0.3,4.6
Tuesday,19,0.2857142857142857,13.285714285714286
Wednesday,16,0.25,8.25
Wednesday,12,0.25,13.916666666666666
Wednesday,5,0.25,15.0
Friday,0,0.25,11.083333333333334
Saturday,15,0.25,5.25
Tuesday,1,0.25,12.75
Monday,1,0.25,5.5
Friday,6,0.20930232558139536,8.255813953488373
Monday,19,0.2,6.0
Wednesday,22,0.2,1.4
Wednesday,20,0.2,4.266666666666667
Tuesday,7,0.2,20.8
Sunday,12,0.18181818181818182,8.636363636363637
Sunday,21,0.16666666666666666,10.666666666666666
Friday,2,0.15,10.2
Sunday,11,0.14285714285714285,5.428571428571429
Monday,18,0.125,3.625
Tuesday,5,0.1111111111111111,6.222222222222222
Friday,8,0.1,8.1
Thursday,18,0.07692307692307693,2.6923076923076925
Friday,23,0.044444444444444446,0.17777777777777778
Friday,14,0.043478260869565216,3.5217391304347827
Sunday,0,0.0,4.4
Saturday,19,0.0,2.25
Sunday,22,0.0,7.0
Friday,19,0.0,4.0
Wednesday,18,0.0,1.8571428571428572
Tuesday,2,0.0,15.8
Tuesday,12,0.0,6.6
