Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts,possible_candidate
317,hamburgershiny,397,774,True,1.9496221662468516,93,No
318,diary_crystal_tourmaline,0,16,False,16.0,3,No
319,angelialim_,128,131,True,1.0234375,8,No
320,djvchong,46,1528,True,33.21739130434783,41,No
321,xslx123,19,363,True,19.105263157894736,26,No
322,gem_stones_33,852,3761,False,4.414319248826291,138,No
323,pinkuyuki,300,832,False,2.773333333333333,2099,No
324,neelieool,145,872,True,6.0137931034482754,565,No
325,dragonfumo,2,3,False,1.5,0,No
326,mabel194,28,52,True,1.8571428571428568,2,No
327,niya.craft.crystal,58,70,False,1.206896551724138,141,No
328,123456789jjlim,10,15,True,1.5,6,No
329,emmychels,95,174,True,1.831578947368421,109,No
330,qwehearts,350,1120,True,3.2,406,No
331,hazely,110,570,True,5.181818181818182,328,No
332,zestafest,161,271,True,1.6832298136645962,173,No
333,daisy.andsunny,10,136,True,13.6,3,No
334,xmelmel,199,287,True,1.4422110552763818,866,No
335,clarabeelengg,608,994,True,1.6348684210526316,179,No
336,peasantfood.my,460,3621,False,7.871739130434783,209,No
337,ellure_lindy,806,1617,False,2.0062034739454093,1304,No
338,yandao.hui,5,52,False,10.4,1,No
339,g.jiayi_,430,1135,False,2.63953488372093,255,No
340,miss.harsono,880,1053,False,1.196590909090909,467,No
341,tiffanysou315,740,579,True,0.7824324324324324,240,No
342,mannie08,343,1087,True,3.1690962099125364,2003,No
343,carrielicious_qiqi,343,623,True,1.816326530612245,32,No
344,pixiuchambersg,40,140,False,3.5,5,No
345,elithialucas,214,853,True,3.985981308411215,901,No
346,junnywenny,345,1077,True,3.121739130434783,155,No
347,factory1wholesale,8180,6636,False,0.8112469437652812,6750,No
348,yxhxm__,347,1403,True,4.043227665706052,291,No
349,sitizuraidah_mdlatiff,444,3817,True,8.596846846846846,1223,No
350,jerynyjq,946,794,True,0.8393234672304439,4,No
351,ecosway.rockingham,7,20,False,2.857142857142857,0,No
352,crystalina_73,121,41,False,0.3388429752066115,0,No
353,adella_namakulala,392,827,True,2.1096938775510203,552,No
354,trickofgrammar,1274,878,False,0.6891679748822606,149,No
355,k_xhx,211,353,True,1.6729857819905214,242,No
356,evan.yxy,241,586,False,2.431535269709544,1882,No
357,sleepyklaudia,134,231,False,1.7238805970149254,13,No
358,diannamyte,130,258,True,1.984615384615385,22,No
359,roundheadedcharlie,30,47,False,1.5666666666666669,28,No
360,xxiaolongbao,599,1083,True,1.8080133555926543,2266,No
361,elliebaos,2082,996,False,0.4783861671469741,225,No
362,fonxade,225,249,True,1.106666666666667,805,No
363,blingpaulieverywhere,289,352,True,1.217993079584775,2221,No
364,underthestarry,109,353,True,3.238532110091743,649,No
365,zminjiex_,689,661,True,0.9593613933236574,0,No
366,huattartss,23,40,False,1.7391304347826086,11,No
367,jennyeo20,148,641,True,4.331081081081081,817,No
368,aysha.rita,0,827,True,827.0,18,No
369,andrewgoingnuts,12,18,False,1.5,0,No
370,kristhanawat,410,404,False,0.9853658536585366,85,No
371,cyn.aw,68,227,True,3.338235294117647,0,No
372,michelleongshang,3,1031,True,343.6666666666667,306,No
373,princesstititutu,10,917,True,91.7,8,No
374,n.f.k07,0,1635,True,1635.0,201,No
375,stay.infayth,8,228,False,28.5,6,No
376,norafeza,634,2068,True,3.2618296529968456,277,No
377,xintianie,225,238,False,1.0577777777777777,2,No
378,maggchoc,651,3382,True,5.195084485407066,756,No
379,wai_jia1428,36,55,False,1.5277777777777777,0,No
380,cin_dee_tan,52,564,True,10.846153846153848,644,No
381,mitcha_28,803,1420,True,1.768368617683686,3708,No
382,monsterawz,441,430,True,0.9750566893424036,101,No
383,soul_crystalshop,773,7497,False,9.698576972833118,732,No
384,lone_star79,51,246,True,4.823529411764706,1271,No
385,daroknun,4,673,True,168.25,1053,No
386,vicola.orange,119,260,True,2.184873949579832,249,No
387,joycefooo,534,384,False,0.7191011235955056,236,No
388,simply_khim,99,572,True,5.777777777777778,115,No
389,ahay_stone29,3169,7501,False,2.366992742189965,458,No
390,jaylenenjy,195,506,True,2.594871794871795,61,No
391,joannegrace7,520,1654,True,3.1807692307692306,545,No
392,qudoos6899,2897,7061,False,2.4373489817052123,315,No
393,vonneang,520,1312,True,2.523076923076923,171,No
394,imshirley.tan,67,417,True,6.223880597014926,101,No
395,behappy_elynn,72,116,True,1.6111111111111112,199,No
396,krystale368,0,285,True,285.0,0,No
397,angienges,73,427,True,5.849315068493151,88,No
398,carmenki9,115,554,True,4.817391304347826,6,No
399,joannesweetie75,25,92,True,3.68,10,No
400,azura_bakery,308,363,False,1.1785714285714286,86,No
401,a.k.quality_gems,124,805,True,6.491935483870968,152,No
402,qelloxitty,6,6,False,1.0,0,No
403,carolyn_0886,344,1501,True,4.363372093023256,114,No
404,josephineeey,151,167,True,1.1059602649006623,224,No
405,fuiminu,103,602,True,5.844660194174757,515,No
406,bewwypuddles,33,3192,True,96.72727272727272,401,No
407,eve.tbt,101,271,True,2.6831683168316838,23,No
408,jerlyn__t,656,566,True,0.8628048780487805,1733,No
409,blurshan,164,286,True,1.7439024390243902,165,No
410,shokulet,164,220,False,1.3414634146341464,432,No
411,bubbly.bubble,82,215,True,2.6219512195121952,5,No
412,kapz108,561,1068,True,1.9037433155080212,609,No
413,serene.tee16,256,360,False,1.40625,166,No
414,crystal_wholesale_stone_shop25,2322,6947,False,2.9918173987941428,2631,No
415,elatior.crystal,79,83,False,1.0506329113924051,7,No
416,sinyueeee,807,979,False,1.2131350681536557,1979,No
417,i.love.r.a.i.n.b.o.w,79,235,True,2.9746835443037973,717,No
418,winnieewann,40,246,True,6.15,1,No
419,julianeo2010,53,48,False,0.9056603773584906,9,No
420,joannatky,600,639,True,1.065,421,No
421,tpauline,110,420,False,3.8181818181818175,0,No
422,oranje.movers,94,935,False,9.9468085106383,15,No
423,leahhko,1711,971,False,0.5675043834015195,45,No
424,shamoony0125,39,105,True,2.6923076923076925,7,No
